ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
15912,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-17,08:04:00,5.51,19.13
15913,Jirón Lima Puno,"-15.8387563,-70.0281599",Real Plaza Puno,"-15.8426,-70.0141",2024-10-22,20:55:00,2.05,7.16
15914,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Senati Puno,"-15.8699536,-69.9988485",2024-11-16,03:56:00,6.64,22.06
15915,Isla Esteves Puno,"-15.8275387,-69.9925844",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-26,13:43:00,5.86,17.82
15916,Senati Puno,"-15.8699536,-69.9988485",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-11,09:44:00,0.86,3.05
15917,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-24,06:46:00,6.24,20.45
15918,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Real Plaza Puno,"-15.8426,-70.0141",2024-11-20,17:10:00,0.8,2.53
15919,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-08-27,06:26:00,0.96,3.37
15920,Isla Esteves Puno,"-15.8275387,-69.9925844",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-23,01:23:00,5.45,16.73
15921,Puerto Lacustre Puno,"-15.8491,-70.0185",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-27,10:16:00,1.09,3.96
15922,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Terminal Terrestre Puno,"-15.848,-70.0146",2024-06-23,04:56:00,6.46,20.15
15923,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-15,12:09:00,3.37,9.16
15924,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-23,04:22:00,10.64,26.35
15925,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-23,01:16:00,0.8,2.87
15926,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-27,06:03:00,0.8,2.8
15927,Jirón Lima Puno,"-15.8387563,-70.0281599",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-20,22:20:00,2.03,7.5
15928,Jayllihuaya Puno,"-15.8787471,-69.9751057",Los Incas Puno,"-15.84,-70.028",2024-08-16,00:17:00,8.53,20.53
15929,Catedral Basílica de Puno,"-15.8409556,-70.029004",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-09-01,04:31:00,0.8,3.57
15930,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-30,16:54:00,4.22,13.22
15931,Los Incas Puno,"-15.84,-70.028",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-06,19:27:00,2.17,8.37
15932,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-02,10:17:00,2.71,8.9
15933,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-10,23:55:00,0.8,2.88
15934,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-07-11,07:24:00,3.31,9.54
15935,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-04,11:23:00,2.21,8.35
15936,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-04,02:50:00,3.08,8.96
15937,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-11,17:59:00,8.64,22.12
15938,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-15,03:05:00,2.4,9.53
15939,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-08-01,21:38:00,3.26,9.06
15940,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-11-15,03:13:00,0.8,3.36
15941,Parque del Niño Puno,"-15.841,-70.024",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-11,13:40:00,0.8,3.03
15942,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-18,15:43:00,1.02,3.37
15943,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-15,16:42:00,0.8,2.65
15944,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-29,05:58:00,0.8,3.31
15945,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-11-09,16:25:00,0.8,4.47
15946,Terminal Terrestre Puno,"-15.848,-70.0146",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-02,08:05:00,5.9,17.85
15947,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Los Incas Puno,"-15.84,-70.028",2024-08-27,20:15:00,0.8,2.68
15948,Urbanización Alto Puno,"-15.8282,-70.0481",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-14,15:44:00,4.38,14.07
15949,Colegio Adventista Puno,"-15.8366071,-70.0291852",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-07-11,22:33:00,0.8,2.56
15950,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Urbanización Bellavista Puno,"-15.84,-70.028",2024-10-16,20:50:00,0.8,3.13
15951,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-30,04:08:00,2.41,9.56
15952,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-13,02:06:00,4.66,16.11
15953,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-13,05:28:00,3.9,13.59
15954,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-10-03,06:10:00,2.08,8.59
15955,Urbanización Bellavista Puno,"-15.84,-70.028",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-05,14:32:00,2.17,9.01
15956,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-27,18:36:00,4.04,12.89
15957,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Los Incas Puno,"-15.84,-70.028",2024-06-27,21:12:00,0.8,2.53
15958,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-29,20:34:00,0.8,3.2
15959,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-11-28,19:45:00,2.21,6.65
15960,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-10,09:25:00,1.47,5.09
15961,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-19,21:53:00,1.38,5.36
15962,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-26,08:55:00,1.13,3.82
15963,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-03,10:22:00,0.8,2.58
15964,Colegio Adventista Puno,"-15.8366071,-70.0291852",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-09-26,00:58:00,1.77,6.43
15965,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-06,17:15:00,1.73,7.01
15966,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-01,00:39:00,0.8,2.75
15967,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-10,17:36:00,1.61,5.25
15968,Urbanización Alto Puno,"-15.8282,-70.0481",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-10,14:48:00,5.41,18.85
15969,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Senati Puno,"-15.8699536,-69.9988485",2024-10-29,16:11:00,5.87,17.28
15970,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-07-12,08:06:00,2.41,9.62
15971,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Parque Pino Puno,"-15.8378073,-70.0280672",2024-07-18,20:44:00,0.8,3.14
15972,Avenida El Sol Puno,"-15.8458219,-70.0202123",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-27,05:55:00,5.69,21.16
15973,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.8282,-70.0481",2024-10-25,10:50:00,4.18,13.5
15974,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-09,20:44:00,1.11,4.74
15975,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-07,13:10:00,1.96,7.51
15976,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-22,21:56:00,2.63,11.01
15977,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-29,15:52:00,3.06,7.85
15978,Isla Esteves Puno,"-15.8275387,-69.9925844",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-08-26,22:27:00,4.81,13.63
15979,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-01,07:21:00,1.68,5.95
15980,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-13,21:50:00,2.33,8.0
15981,Urbanización Alto Puno,"-15.8282,-70.0481",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-04,10:35:00,5.66,16.84
15982,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-19,11:22:00,2.57,7.81
15983,Hospital ESSALUD Puno,"-15.84,-70.0213",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-26,01:01:00,4.59,12.92
15984,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-13,17:45:00,0.81,2.6
15985,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-24,23:50:00,0.9,2.77
15986,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-06,08:42:00,0.8,2.78
15987,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-16,19:54:00,0.92,2.99
15988,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-16,10:09:00,2.77,9.84
15989,Colegio Adventista Puno,"-15.8366071,-70.0291852",Real Plaza Puno,"-15.8426,-70.0141",2024-09-07,22:27:00,2.48,8.29
15990,Avenida El Sol Puno,"-15.8458219,-70.0202123",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-05,23:33:00,0.8,3.09
15991,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-08-23,23:28:00,1.64,6.01
15992,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-19,19:06:00,6.65,23.03
15993,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-09-06,15:15:00,2.09,8.13
15994,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-30,10:19:00,1.61,5.65
15995,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-05,13:01:00,4.65,13.48
15996,Colegio Don Bosco Puno,"-15.8282,-70.0481",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-06-20,00:11:00,3.21,11.16
15997,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Alto Puno,"-15.8282,-70.0481",2024-11-10,07:09:00,3.41,11.38
15998,Colegio Don Bosco Puno,"-15.8282,-70.0481",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-07-22,13:31:00,3.4,12.36
15999,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Parque del Niño Puno,"-15.841,-70.024",2024-10-07,19:05:00,0.8,3.11
16000,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-24,23:52:00,0.8,2.71
16001,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-10,07:07:00,6.25,21.85
16002,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-29,20:43:00,3.6,9.76
16003,Puerto Lacustre Puno,"-15.8491,-70.0185",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-01,15:26:00,2.7,10.45
16004,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-05,07:50:00,1.16,4.38
16005,Puerto Lacustre Puno,"-15.8491,-70.0185",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-09-20,23:57:00,1.6,5.13
16006,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-18,14:57:00,4.39,15.48
16007,Puerto Lacustre Puno,"-15.8491,-70.0185",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-14,08:12:00,4.3,15.3
16008,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Alto Puno,"-15.8282,-70.0481",2024-09-18,05:49:00,5.44,18.0
16009,Municipalidad Provincial de Puno,"-15.84,-70.025",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-19,11:29:00,0.8,3.17
16010,Jirón Lima Puno,"-15.8387563,-70.0281599",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-04,10:04:00,0.8,3.03
16011,Avenida La Torre Puno,"-15.8336052,-70.0276202",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-04,10:19:00,3.55,9.81
16012,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-17,20:41:00,4.06,14.15
16013,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-07-19,22:02:00,0.86,3.72
16014,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Alto Puno,"-15.8282,-70.0481",2024-11-20,17:13:00,5.18,17.57
16015,Urbanización Alto Puno,"-15.8282,-70.0481",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-10-04,01:48:00,5.23,14.08
16016,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-07,22:33:00,0.8,2.87
16017,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-06-20,10:52:00,4.56,12.3
16018,Parque del Niño Puno,"-15.841,-70.024",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-10-06,17:25:00,0.89,2.9
16019,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-06,21:12:00,3.79,11.52
16020,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-13,10:03:00,4.05,14.03
16021,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-08-29,23:31:00,0.8,2.94
16022,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-28,11:10:00,1.85,7.04
16023,Senati Puno,"-15.8699536,-69.9988485",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-21,11:22:00,0.92,2.96
16024,Av. Costanera Puno,"-15.8399095,-70.0176539",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-04,21:00:00,2.37,8.86
16025,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-27,11:13:00,0.96,3.21
16026,Jayllihuaya Puno,"-15.8787471,-69.9751057",Real Plaza Puno,"-15.8426,-70.0141",2024-11-01,20:31:00,6.86,25.65
16027,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-10-19,11:19:00,4.85,13.28
16028,Urbanización Alto Puno,"-15.8282,-70.0481",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-28,06:10:00,4.31,15.24
16029,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-01,07:56:00,8.82,26.35
16030,Urbanización Bellavista Puno,"-15.84,-70.028",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-26,18:38:00,4.79,13.63
16031,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-22,18:14:00,0.81,3.12
16032,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-20,15:28:00,6.38,22.71
16033,Jayllihuaya Puno,"-15.8787471,-69.9751057",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-27,22:28:00,8.75,23.53
16034,Catedral Basílica de Puno,"-15.8409556,-70.029004",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-27,22:36:00,8.34,20.78
16035,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-27,13:56:00,1.6,4.77
16036,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-02,05:43:00,0.98,3.64
16037,Municipalidad Provincial de Puno,"-15.84,-70.025",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-25,15:42:00,0.8,3.13
16038,Senati Puno,"-15.8699536,-69.9988485",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-25,05:14:00,6.09,16.55
16039,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-09,15:56:00,2.29,9.79
16040,Urbanización Alto Puno,"-15.8282,-70.0481",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-07,03:39:00,3.46,12.69
16041,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-11-20,18:22:00,1.7,5.53
16042,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-10-15,10:02:00,1.97,6.03
16043,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-13,20:17:00,6.33,21.96
16044,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-12,17:59:00,2.2,8.91
16045,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-07,06:59:00,3.58,11.45
16046,Urbanización Huajsapata Puno,"-15.856,-70.0235",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-11,04:23:00,2.41,9.96
16047,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-16,09:12:00,1.32,4.13
16048,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-26,03:37:00,3.93,13.68
16049,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-04,17:02:00,1.59,5.62
16050,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-18,22:32:00,1.66,5.35
16051,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Real Plaza Puno,"-15.8426,-70.0141",2024-08-25,19:20:00,5.24,16.5
16052,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-06,05:11:00,1.08,4.39
16053,Avenida Floral Puno,"-15.8268687,-70.0141471",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-06-30,10:17:00,3.0,8.93
16054,Real Plaza Puno,"-15.8426,-70.0141",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-02,14:09:00,2.08,7.3
16055,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Real Plaza Puno,"-15.8426,-70.0141",2024-08-20,12:41:00,2.03,8.54
16056,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-10,22:42:00,5.98,16.21
16057,Real Plaza Puno,"-15.8426,-70.0141",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-28,03:52:00,1.52,4.54
16058,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-06-29,05:36:00,0.8,4.35
16059,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Parque del Niño Puno,"-15.841,-70.024",2024-11-08,19:38:00,0.8,2.74
16060,Hospital ESSALUD Puno,"-15.84,-70.0213",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-11-19,16:16:00,0.8,4.03
16061,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-25,23:35:00,0.8,2.95
16062,Terminal Terrestre Puno,"-15.848,-70.0146",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-20,02:42:00,1.94,7.32
16063,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-25,22:58:00,0.8,2.64
16064,Avenida El Sol Puno,"-15.8458219,-70.0202123",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-02,07:29:00,1.43,5.3
16065,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-06-16,00:41:00,0.8,2.63
16066,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-07-11,15:03:00,3.74,11.22
16067,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-22,09:01:00,6.02,19.44
16068,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-03,09:53:00,1.89,6.44
16069,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-12,08:02:00,1.59,4.8
16070,Avenida La Torre Puno,"-15.8336052,-70.0276202",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-10,03:18:00,0.93,3.32
