ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
9825,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-11,01:32:00
9826,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-24,14:50:00
9827,Puerto Lacustre Puno,"-15.835401,-70.014945",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-06,11:09:00
9828,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-09,07:23:00
9829,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-07,22:25:00
9830,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Senati Puno,"-15.8699536,-69.9988485",2024-08-30,11:58:00
9831,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-25,11:55:00
9832,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-29,16:04:00
9833,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-19,19:57:00
9834,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-06-12,07:53:00
9835,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Alto Puno,"-15.814292,-70.031918",2024-09-11,15:22:00
9836,Plaza Vea Puno,"-15.83636,-70.025604",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-12,02:44:00
9837,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-09-04,05:18:00
9838,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-16,20:51:00
9839,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.858797,-70.012071",2024-09-03,17:49:00
9840,Colegio Adventista Puno,"-15.8366071,-70.0291852",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-13,00:56:00
9841,Salcedo Puno,"-15.8687992,-69.9986595",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-07,06:38:00
9842,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-23,15:35:00
9843,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-01,09:25:00
9844,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-10,01:42:00
9845,Senati Puno,"-15.8699536,-69.9988485",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-18,17:26:00
9846,Parque del Niño Puno,"-15.858797,-70.012071",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-20,09:49:00
9847,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-19,22:36:00
9848,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-02,16:08:00
9849,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-29,20:35:00
9850,Colegio Don Bosco Puno,"-15.883085,-70.001176",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-24,04:34:00
9851,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-02,11:32:00
9852,Avenida La Torre Puno,"-15.8336052,-70.0276202",Senati Puno,"-15.8699536,-69.9988485",2024-09-20,08:39:00
9853,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-14,13:32:00
9854,Urbanización Alto Puno,"-15.814292,-70.031918",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-12,01:37:00
9855,Colegio Adventista Puno,"-15.8366071,-70.0291852",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-08,13:05:00
9856,Jr. Tarapacá Puno,"-15.83755,-70.029158",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-09-07,09:31:00
9857,Colegio Adventista Puno,"-15.8366071,-70.0291852",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-01,09:38:00
9858,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-13,03:49:00
9859,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-29,04:03:00
9860,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-30,17:46:00
9861,Parque del Periodista Puno,"-15.839012,-70.023311",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-10,19:43:00
9862,Colegio Adventista Puno,"-15.8366071,-70.0291852",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-11,15:04:00
9863,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-11,20:01:00
9864,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque del Niño Puno,"-15.858797,-70.012071",2024-10-25,20:26:00
9865,Jr. Lima Puno,"-15.838756,-70.02816",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-08,09:29:00
9866,Jr. Lima Puno,"-15.838756,-70.02816",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-11-18,04:51:00
9867,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-14,01:20:00
9868,Senati Puno,"-15.8699536,-69.9988485",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-10-14,19:05:00
9869,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-30,23:18:00
9870,Jr. Lima Puno,"-15.838756,-70.02816",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-06-19,15:43:00
9871,Parque del Niño Puno,"-15.858797,-70.012071",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-06,17:54:00
9872,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-07,07:57:00
9873,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-29,06:46:00
9874,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-07,07:06:00
9875,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-30,17:31:00
9876,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-16,09:36:00
9877,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-14,09:38:00
9878,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-22,19:14:00
9879,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-30,07:49:00
9880,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-17,16:45:00
9881,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-13,17:02:00
9882,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-25,01:40:00
9883,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-26,23:34:00
9884,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-10-28,02:36:00
9885,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-20,23:57:00
9886,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-06,08:23:00
9887,Jr. Tarapacá Puno,"-15.83755,-70.029158",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-18,19:30:00
9888,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-06-22,11:36:00
9889,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-26,00:04:00
9890,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-23,20:12:00
9891,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-06,18:33:00
9892,Jr. Tarapacá Puno,"-15.83755,-70.029158",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-27,03:45:00
9893,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-28,00:13:00
9894,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-18,15:24:00
9895,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-23,17:54:00
9896,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-27,19:37:00
9897,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-15,18:31:00
9898,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-14,03:02:00
9899,Plaza Vea Puno,"-15.83636,-70.025604",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-27,12:24:00
9900,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-26,14:24:00
9901,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-31,18:14:00
9902,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-18,02:12:00
9903,Plaza Vea Puno,"-15.83636,-70.025604",Parque San Román Puno,"-15.841093,-70.029431",2024-09-27,21:36:00
9904,Avenida Floral Puno,"-15.8268687,-70.0141471",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-30,20:58:00
9905,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-05,00:08:00
9906,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-08-06,20:13:00
9907,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-03,09:54:00
9908,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-20,19:07:00
9909,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-12,14:00:00
9910,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-09,20:56:00
9911,Ministerio de Cultura Puno,"-15.842631,-70.028915",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-16,14:43:00
9912,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-25,00:51:00
9913,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-19,14:12:00
9914,Avenida Floral Puno,"-15.8268687,-70.0141471",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-31,07:55:00
9915,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-26,00:36:00
9916,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-04,04:10:00
9917,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-25,18:05:00
9918,Avenida Floral Puno,"-15.8268687,-70.0141471",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-25,13:43:00
9919,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-19,20:29:00
9920,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-07,07:01:00
9921,Terminal Terrestre Puno,"-15.843678,-70.017225",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-16,08:55:00
9922,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-08-13,18:55:00
9923,Urbanización Bellavista Puno,"-15.832755,-70.022242",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-22,08:43:00
9924,Avenida La Torre Puno,"-15.8336052,-70.0276202",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-08,20:49:00
9925,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-21,17:10:00
9926,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-13,09:15:00
9927,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-02,03:50:00
9928,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-11,21:32:00
9929,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-09-12,04:22:00
9930,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-17,13:45:00
9931,Jr. Los Incas Puno,"-15.836837,-70.024882",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-25,04:52:00
9932,Senati Puno,"-15.8699536,-69.9988485",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-23,21:29:00
9933,Parque del Periodista Puno,"-15.839012,-70.023311",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-10-31,13:56:00
9934,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-12,17:12:00
9935,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-02,06:57:00
9936,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-17,13:01:00
9937,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-06,16:45:00
9938,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-27,00:11:00
9939,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-27,10:01:00
9940,Parque del Periodista Puno,"-15.839012,-70.023311",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-03,04:49:00
9941,Urbanización Bellavista Puno,"-15.832755,-70.022242",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-04,20:54:00
9942,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-08,19:48:00
9943,Ministerio de Cultura Puno,"-15.842631,-70.028915",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-25,21:35:00
9944,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-08,21:51:00
9945,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-18,16:12:00
9946,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-07-13,16:14:00
9947,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-15,01:51:00
9948,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-12,03:02:00
9949,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-03,14:40:00
9950,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-06,05:53:00
9951,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-19,00:07:00
9952,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-07,21:49:00
9953,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-16,22:50:00
9954,Parque Pino Puno,"-15.8378073,-70.0280672",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-19,00:03:00
9955,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-08,16:20:00
9956,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-18,04:49:00
9957,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-21,11:50:00
9958,Terminal Terrestre Puno,"-15.843678,-70.017225",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-26,00:51:00
9959,Avenida El Sol Puno,"-15.8458219,-70.0202123",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-17,21:28:00
9960,Jr. Los Incas Puno,"-15.836837,-70.024882",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-18,17:34:00
9961,Jr. Lima Puno,"-15.838756,-70.02816",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-28,22:30:00
9962,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-15,07:53:00
9963,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-22,05:19:00
9964,Puerto Lacustre Puno,"-15.835401,-70.014945",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-03,23:59:00
9965,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-28,11:23:00
9966,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-08-10,08:08:00
9967,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Parque San Román Puno,"-15.841093,-70.029431",2024-06-27,09:18:00
9968,Colegio Adventista Puno,"-15.8366071,-70.0291852",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-09-16,17:12:00
9969,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-05,07:57:00
9970,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-28,20:22:00
9971,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-18,07:28:00
9972,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-05,14:38:00
9973,Jr. Lima Puno,"-15.838756,-70.02816",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-23,15:51:00
9974,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-09,19:52:00
9975,Terminal Terrestre Puno,"-15.843678,-70.017225",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-28,21:20:00
9976,Parque del Periodista Puno,"-15.839012,-70.023311",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-26,12:18:00
9977,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-29,21:00:00
9978,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-11-25,11:24:00
9979,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Parque Pino Puno,"-15.8378073,-70.0280672",2024-07-19,20:10:00
9980,Jr. Los Incas Puno,"-15.836837,-70.024882",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-05,23:25:00
9981,Jayllihuaya Puno,"-15.8787471,-69.9751057",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-15,01:37:00
9982,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-08-07,13:59:00
9983,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-20,03:50:00
9984,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-26,19:31:00
9985,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-25,13:20:00
